item_id,developer,anios
70,Valve,1998
2400,Outerlight Ltd.,2006
3800,GlyphX Games,2005
1520,Introversion Software,2006
2420,Outerlight Ltd.,2006
4000,Facepunch Studios,2006
2990,Bugbear Entertainment,2006
6220,Bugbear Entertainment,2005
6310,Funcom,2000
7600,"Firaxis Games,Feral Interactive (Mac)",2006
8000,"Crystal Dynamics,Feral Interactive (Mac)",2007
6550,"CAPCOM Co., Ltd.",2006
2570,Freegamer,2007
2280,id Software,1995
9160,id Software,1995
2300,id Software,1994
2270,id Software,1994
9010,Gray Matter Studios,2001
2310,id Software,2007
7670,"2K Boston,2K Australia",2007
4570,Relic Entertainment,2006
4580,Relic Entertainment,2006
4760,The Creative Assembly,2004
12130,Rockstar North,2004
12150,Remedy Entertainment,2003
7000,Crystal Dynamics,2006
12140,Remedy Entertainment,2001
17480,EA Los Angeles,2008
12500,Infinite Interactive,2007
9730,Desconocido,2006
2700,"Frontier,Aspyr (Mac)",2006
13250,"Epic Games, Inc.",1998
13560,Ubisoft,2003
13520,Crytek Studios,2004
15200,Ubisoft Romania,2007
15320,1C: Maddox Games,2006
8310,Telltale Games,2005
12590,BigAnt Studios,2008
19500,"Luc Bernard,SilverSphereStudios",2008
11260,Lesta Studio,2007
12360,Bugbear Entertainment,2008
15710,Oddworld Inhabitants,1998
15700,Oddworld Inhabitants,1997
7770,"MicroProse Software, Inc",2001
7660,"MicroProse Software, Inc",1997
7760,"MicroProse Software, Inc",1993
20510,GSC Game World,2008
17330,Crytek,2008
17300,Crytek,2007
7730,"MicroProse Software, Inc",1998
20900,CD PROJEKT RED,2008
16810,Firaxis Games,2008
19830,"Red Storm Entertainment,Ubisoft Montreal",2003
21000,Traveller's Tales,2008
15390,Gearbox Software,2008
3050,Techland,2006
22000,2D BOY,2008
2820,Egosoft,2008
12200,Rockstar New England,2008
19900,Ubisoft Montreal,2008
11240,Meridian4,2008
9480,Volition,2009
17470,EA Redwood Shores,2008
17410,DICE,2009
18500,Hidden Path Entertainment,2008
16450,Monolith,2009
11340,Meridian4,2009
25830,Black Sea Studios Ltd,2005
22180,Frictional Games,2007
13210,"Epic Games, Inc.",2007
27020,Tale of Tales,2008
24740,Criterion Games,2009
11330,IonFX,2009
1930,Reality Pump Studios,2009
7510,Gaijin Entertainment,2009
22200,ACE Team,2009
25900,1C Company,2008
7840,Sky Fallen,2009
8880,Irrational Games,2002
1280,Darklight Games,2009
10150,Radical Entertainment,2009
12470,Ascaron Entertainment ltd.,2004
22330,Bethesda Game Studios,2007
22320,Bethesda Game Studios,2002
31860,HeR Interactive,2007
31930,HeR Interactive,2007
21660,Capcom,2009
6060,Pandemic Studios,2005
32360,LucasArts,2009
10140,Wanako Games,2006
10130,Saber Interactive,2007
33520,"PopTop Software,BreakAway Games,Frog City Software",2009
36000,Sakari Indie,2009
32370,"BioWare,Aspyr (Mac)",2003
29180,Hemisphere Games,2009
38410,Black Isle Studios,1998
38420,14° East,2001
38440,Shiny Entertainment,2000
37400,Size Five Games,2009
13570,Ubisoft Montreal,2005
11390,Desconocido,2009
37600,"Vectorpark, Inc.",2009
32770,NovaLogic,2009
40700,Amanita Design,2009
24840,EA Los Angeles,2007
24870,Slightly Mad Studios,2009
41500,Runic Games,2009
24800,EA Los Angeles,2009
40330,Animation Arts,2009
41100,Konstantin Koshutin,2009
41000,Croteam,2009
17450,BioWare,2009
10180,"Infinity Ward,Aspyr (Mac)",2009
32440,"Traveller's Tales,Feral Interactive (Mac)",2009
11450,"Triumph Studios,Virtual Programming",2007
24790,EA Los Angeles,2007
24810,EA Los Angeles,2009
41800,Positech Games,2009
45300,Gaijin Entertainment,2009
35420,Defence Alliance Team,2009
32430,"LucasArts,Aspyr Studios",2009
22370,Bethesda Game Studios,2009
38210,Spidermonk Entertainment,2009
45700,Capcom,2008
17570,Octoshark Studios,2010
41050,Croteam,2001
48700,TaleWorlds Entertainment,2010
42120,Fatshark,2010
12220,Rockstar North / Toronto,2010
45730,Other Ocean Interactive,2010
45400,Nemesys Games,2010
49600,Cold Beam Games,2010
43500,Realmforge Studios,2010
40930,The Odd Gentlemen,2010
49800,Muse Games,2010
34010,Obsidian Entertainment,2010
22610,Team17 Software Ltd.,2010
630,Valve,2010
24780,"EA - Maxis,Aspyr (Mac)",2003
33670,"Akella,.dat",2010
28000,IO Interactive,2010
39680,Rune Forge,2010
63900,Ino-Co,2010
50130,"2K Czech,Feral Interactive (Mac)",2011
50510,doublesix,2010
48800,VStep,2010
22600,Team17 Digital Ltd,2010
46770,Muzzy Lane Software,2010
42960,Paradox Development Studio,2010
4850,GSC Game World,2002
57640,Revolution Software Ltd,2010
62100,Zoë Mode,2010
70300,Terry Cavanagh,2010
57300,Frictional Games,2010
70400,EasyGameStation,2010
70100,exosyphen studios,2010
38600,Subsoap,2010
8930,"Firaxis Games,Aspyr (Mac, Linux)",2010
41060,Croteam,2002
9940,Krome Studios,2010
22650,Team17 Digital Ltd,2010
50620,Vigil Games,2010
42920,NeoCoreGames,2010
47790,Electronic Arts,2010
45750,"CAPCOM CO., LTD.",2010
22380,Obsidian Entertainment,2010
18040,Hothead Games,2010
6120,Klei Entertainment,2010
35460,Teotl Studios,2010
32500,Aspyr Studios,2010
62000,Firemint,2010
63700,Gaijin Games,2010
33980,Centauri Production,2010
33950,Altar Games,2007
42700,Treyarch,2010
15750,Oddworld Inhabitants,2010
31290,Telltale Games,2010
12100,Rockstar Games,2002
12120,Rockstar Games,2005
12110,Rockstar Games,2003
92300,Extend Studio,2011
80000,BlueGiant Interactive,2011
47780,Visceral Games,2011
63200,Uber Entertainment,2011
71165,SEGA,2011
47890,The Sims Studio,2009
42000,Trinoteam,2011
7520,Reality Pump Studios,2011
63710,Gaijin Games,2011
55100,"Kaos Studios,Digital Extremes",2011
39120,Trion Worlds,2013
94000,Stout Games,2011
92700,Black Lion Studios,2011
91200,11 bit studios,2011
73170,Martin Ivanov,2011
70000,800 North and Digital Ranch,2011
620,Valve,2011
91600,Coffee Stain Studios,2011
73020,1C:InoCo,2011
98200,Mode 7,2011
22450,inXile Entertainment,2011
42140,Fatshark,2011
39160,Obsidian Entertainment,2011
57900,Gearbox Software,2011
102700,Red Duck Inc.,2011
9880,Cryptic Studios,2009
99900,Grey Havens,2011
49470,Stainless Games Ltd,2011
97000,Murudai,2011
21100,Day 1 Studios,2011
99100,Bedlam Games,2011
94590,Telltale Games,2011
105700,Secret Base,2011
72750,Obsidian Entertainment,2011
61100,YeaBoing,2011
65790,Bohemia Interactive,2011
57690,Haemimont Games,2011
38740,Two Tribes,2011
107200,MinMax Games Ltd.,2011
99910,Three Rings,2011
55150,Relic,2011
63940,1C Company,2011
98400,Flying Wild Hog,2012
22230,ACE Team,2011
35450,Tripwire Interactive,2011
33420,Desconocido,2011
73210,Paradox Development Studio,2011
111400,NGD Studios,2011
48220,Blackhole,2011
9420,Gas Powered Games,2011
113200,Edmund McMillen and Florian Himsl,2011
200230,1C-Avalon,2011
9350,Gas Powered Games,2007
45770,Capcom Vancouver,2011
115100,Double Fine Productions,2011
201480,"Vlambeer,Croteam",2011
200910,Iridium Studios,2011
24200,Daybreak Game Company,2011
55370,Volition,2011
71340,Devil's Details,2011
110800,"Team Bondi,Rockstar Leeds",2011
61310,Cipher Prime Studios,2011
46350,Unicorn Games Studio,2010
202200,Stardock Entertainment,2011
113400,Reloaded Productions,2011
201510,Team 6 Studios,2011
23530,"Vicious Cycle Software, Inc.",2011
201310,Egosoft,2011
35720,Frozenbyte,2013
204030,Lionhead Studios,2011
204340,Croteam,2005
9900,Cryptic Studios,2010
57740,"Coreplay GmbH,Bigmoon Studios",2012
105800,Q-Games Ltd.,2012
203210,Puppygames,2012
203770,Paradox Development Studio,2012
108710,Remedy Entertainment,2012
10220,Trashmasters,2011
200210,Wild Shadow Studios,2012
55381,Volition,2012
207490,"UBIart Montpellier,Feral Interactive (Mac)",2012
206521,Grey Havens,2012
108500,Strange Loop Games,2012
206690,Cobra Mobile,2012
115110,Double Fine Productions,2012
207420,Tribute Games Inc.,2012
207790,Trickstar Games,2012
207250,3 Sprockets,2012
204180,Eden Industries,2012
102850,Trapdoor Inc.,2012
206610,Reality Pump,2012
202310,BUGBEAR,2012
207430,David Williamson,2012
40390,Piranha Bytes,2012
203750,Devil's Details,2012
209370,Love Conquers All Games,2012
98300,Signal Studios,2012
209100,Slant Six Games,2012
108200,Days of Wonder,2012
207350,Nihon Falcom,2012
204100,Rockstar Studios,2012
212500,"Standing Stone Games, LLC",2012
209790,Cipher Prime Studios,2012
207080,BlinkWorks Media,2012
42170,Fatshark,2012
213330,TT Games,2012
212160,Nexon,2012
203830,Daedalic Entertainment,2012
206480,"Standing Stone Games, LLC",2012
212630,"Ubisoft Paris,Red Storm Entertainment",2012
200010,Airtight Games,2012
17080,Hi-Rez Studios,2012
205550,Sakari Indie &amp; GriN,2012
1840,Valve,2012
207650,Misfits Attic,2012
207400,Tennen-sozai,2012
209270,Robot Entertainment,2012
202181,United Front Games,2012
212010,Fishlabs Entertainment GmbH,2012
730,Valve,2012
208580,"Obsidian Entertainment,Aspyr (Mac, Linux, &amp; Windows Update)",2005
72000,Eyebrow Interactive,2012
200260,"Rocksteady Studios,Feral Interactive (Mac)",2012
206440,Freebird Games,2011
214970,Aleksey Abramenko,2012
61730,Capybara Games,2012
205950,Blit Software,2012
205650,Frogwares,2012
65740,Bohemia Interactive,2012
209670,Data Realms,2012
205060,Gaijin Games,2012
215510,Ratloop Asia,2012
208200,id Software,2012
205190,Ubisoft - San Francisco,2012
219910,Daedalic Entertainment,2012
218090,2x2 Games,2012
215470,Lukewarm Media,2012
219150,Dennaton Games,2012
215120,Gravity Interactive,2012
209080,Muse Games,2012
223470,Running With Scissors,2003
220740,Daedalic Entertainment,2012
222140,Neko Entertainment,2012
202970,Treyarch,2012
223510,IonFx,2012
212200,NEXON Korea Corp.,2012
224900,Reality Pump,2012
225640,Ascaron,2012
211280,DnS Development,2013
215710,Subatomic Studios LLC,2013
209540,Born Ready Games Ltd.,2013
221810,Double Fine Productions,2013
228400,NAMCO,2013
220440,Ninja Theory,2013
231140,Focus Home Interactive,2013
224820,Megadev,2013
226740,"Radial Games Corp,Dejobaan Games, LLC",2013
222660,24 Caret Games,2013
220160,"Redlynx Ltd,Ubisoft  Shanghaï",2013
232770,Running With Scissors,1997
221040,Capcom,2013
233470,Shiro Games,2013
233550,"Eric Chahi,DotEmu",2013
227220,Artifice Studio,2013
228440,3 Sprockets,2013
227080,Minority Media Inc.,2013
233720,Bossa Studios,2013
227480,Old School Games,2013
232050,Snowbird Games,2013
232750,Spiders,2013
234710,Telltale Games,2013
220660,Zero Sum Games,2013
235780,Adam Foster,2013
210770,Coffee Stain Studios,2013
222730,Abbey Games,2013
235070,Point Five Projects,2013
222480,Capcom,2013
228300,DONTNOD Entertainment,2013
208812,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)",2013
236790,Actalogic,2013
235360,Nival,2013
231740,Behold Studios,2013
218550,"Gearbox Software,Aspyr (Mac &amp; Linux)",2013
231430,"Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)",2013
237110,"NetherRealm Studios,High Voltage Software",2013
239800,Ian Campbell,2013
207620,Desconocido,2013
239660,Dragonfly,2013
225360,Realmforge Studios,2013
243360,Nadeo,2013
225160,General Arcade,1997
39140,Square Enix,2013
235580,"Firaxis Games,Aspyr (Mac, Linux)",2013
201420,Two Tribes,2013
205080,Gaijin Games,2013
237590,Old School Games,2013
233370,KING Art,2013
241320,Ludosity,2013
234650,Harebrained Schemes,2013
241410,Zen Studios,2013
228960,17-BIT,2013
214930,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
234080,MercurySteam - Climax Studios,2013
217140,Interceptor Entertainment,2013
210870,Pwnee Studios,2013
223770,Eagle Dynamics SA,2012
243950,Larian Studios,2013
242590,Desconocido,2013
231040,Threaks,2013
237630,WayForward,2013
233840,Team17 Digital Ltd,2013
244230,Gaijin Entertainment,2013
242570,Full Control Studios,2013
244870,Michael Todd Games,2013
226720,Spark Unlimited,2013
243780,"Double Eleven,Q-Games Ltd.",2013
250110,Witch Beam,2015
244710,Might and Delight,2013
246640,FullPowerSideAttack.com,2013
203290,U.S. Army,2015
239820,Greenheart Games,2013
111900,Zombie Studios,2013
249630,Priority Interrupt,2013
238320,Red Barrels,2013
231310,Santa Ragione,2013
227600,"SEGA Studios Australia,Feral Interactive (Mac)",2013
226960,Zachtronics,2013
244810,"Mediatonic,The Irregular Corporation",2013
227310,SCS Software,2013
248350,North of Earth,2012
237740,FreakZone Games,2013
249680,Zootfly,2013
247120,Desconocido,2013
243450,Tate Multimedia,2013
236450,"Mine Loader Software Co., Ltd.",2013
249870,5th Cell Media,2013
217920,CI Games,2013
246255,"Mine Loader Software Co., Ltd.",2013
251370,MagicalTimeBean,2012
220260,Giants Software,2013
244930,Poppermost Productions,2013
221910,Galactic Cafe,2013
247140,Studio Bean,2013
250320,Telltale Games,2013
248710,Desconocido,2013
251310,Nocturnal works,2013
250460,ClockStone,2013
242820,Carlsen Games,2013
245390,Cyberdreams,1996
250500,sparsevector,2013
238010,"Eidos Montreal,Feral Interactive (Mac)",2013
238430,"Monochrome, Inc",2013
252330,Blue Isle Studios,2013
247298,Deep Silver Volition,2013
251850,Wales Interactive,2013
259170,"Eden Games,Hydravision Entertainment",2008
246580,Modern Dream,2013
247660,Rising Star Games,2013
241540,Undead Labs,2013
219830,Transhuman Design,2013
260060,"Jackbox Games, Inc.",1998
226620,QCF Design,2013
256050,b-Alive,2013
248820,"Hopoo Games, LLC",2013
251990,Hanako Games,2013
108600,The Indie Stone,2013
243280,Arkedo,2013
225340,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2013
252770,Desconocido,2013
257750,2Play,2013
260510,Desconocido,2013
248630,Flyleap Studios Pty. Ltd.,2013
242050,Ubisoft Montreal,2013
252070,8888888 LABS,2013
258950,PolyPusher Studios,2013
253370,Axis Game Factory LLC,2013
261700,Xtal Sword,2013
263100,Space Budgie,2013
252370,Desconocido,2013
253770,TML Studios,2012
259600,Storybird,2013
252250,Simon Roth,2013
262940,Revolution Software Ltd,2014
253110,Harvester Games,2012
259530,D-Pad Studio,2013
259060,Illwinter Game Design,2013
109600,Cryptic Studios,2013
248170,Clickteam,2013
235400,Nival,2013
246840,WildTangent,2005
257120,2DArray,2013
259680,Netcore Games,2012
267600,United Independent Entertainment GmbH,2013
267610,United Independent Entertainment GmbH,2013
267381,OVERKILL - a Starbreeze Studio.,2013
264240,Interdimensional Games Inc,2014
94400,Messhof,2014
260210,Ubisoft Sofia,2014
261820,Alan Edwardes,2014
222880,New World Interactive,2014
263560,Ultra Runaway Games,2013
269210,"Elias Viglione,Jussi Kukkonen",2014
262790,Avidly Wild Games,2014
249570,Jason Rohrer,2014
263320,Mighty Rabbit Studios,2014
267130,Oxide Games,2014
272060,Senscape,2014
275590,OVERKILL - a Starbreeze Studio.,2014
224480,Young Horses,2014
237890,Idea Factory,2014
269570,GTGD,2014
263300,Arc System Works,2014
265690,Limasse Five,2014
250600,Krillbite Studio,2013
250180,"SNK CORPORATION,DotEmu",2014
242920,Shining Rock Software LLC,2014
265890,Matthew Brown,2014
271900,Matthew Brown,2014
258760,SCS Software,2012
269030,"Damian Sommer,Emily Carroll",2013
265610,Matt Roszak,2014
279160,Last Dimension,2014
277590,Ubisoft Montreal,2014
239250,MercurySteam,2014
247000,Nomad Games,2014
214550,Klei Entertainment,2014
251470,Matt Thorson,2014
266010,Thomas Bowker,2014
265870,Sherman3D,2014
258180,Square Enix,2014
233150,Vlambeer,2014
274980,Rob Howland,2014
283880,Crystal Shard,2014
279420,"World-Loom,Nitreal",2014
218820,Tribute Games Inc.,2014
266370,Bongfish GmbH,2014
283370,Jarhead Games,2004
289340,Nikita,2007
288040,WZOGI,2014
289600,Apeiron,2009
240970,Opus,2014
277430,"Vanguard Games,343 Industries",2014
286500,Alawar,2014
290280,Quantized Bit,2014
283920,Humongous Entertainment,1992
271570,BumpkinBrothers,2014
284950,DL Softworks,2014
283960,Humongous Entertainment,1996
283940,Humongous Entertainment,1994
260130,Idea Factory,2014
263540,Mad Otter Games,2014
282760,Digital Tentacle,2014
291270,9heads Game Studios,2012
286340,Farsky Interactive,2014
283660,Somi,2014
295770,Hippomancer,2014
250640,souvenir circ.,2014
281220,Abstraction Games,2014
227780,"Croteam,Alligator Pit",2014
295730,Windybeard,2014
286100,Minor Key Games,2012
273300,Red Barrels,2014
225600,Puny Human,2014
265630,Fistful of Frags Team,2014
266490,"BitMonster, Inc.",2014
269330,Bedtime Digital Games,2014
293320,"Nova Dimension,Naga Entertainment",2014
260160,Mimimi Productions,2014
282740,Last Limb LLC,2014
269790,Digital Happiness,2014
238460,The Behemoth,2014
244450,Digitalmindsoft,2014
294670,Humongous Entertainment,1997
294540,Humongous Entertainment,1998
301190,Forever Entertainment S. A.,2014
279520,Hypercane Studios,2014
290990,Winter Wolves,2010
248570,Nabi Studios,2006
293860,Milkstone Studios,2014
261110,KADOKAWA GAMES / GRASSHOPPER MANUFACTURE,2014
245620,Haemimont Games,2014
285050,Myrtilus Entertainment,2013
293920,Winter Wolves,2011
242760,Endnight Games Ltd,2014
290770,Over The Moon,2014
270510,Uppercut Games Pty Ltd,2014
279260,Owl Cave,2014
247730,Phosphor Games Studio,2014
261530,Stage 2 Studios,2014
301460,"Michael Todd Games,Yazar Media Group LLC",2014
268750,SmashGames,2014
286360,"10th Art Studio,Adventure Productions",2014
270570,3f Interactive,2012
256190,CI Games,2014
262900,Heydeck Games,2013
297490,Unfinished Pixel,2014
280040,Lost Decade Games,2014
309890,MURA Interactive,2014
223830,Goldhawk Interactive,2014
307640,XGen Studios,2011
297100,Silesia Games Sp. z o.o.,2014
255260,Cyanide Studio,2014
230230,Larian Studios,2014
283230,MEGAFUZZ,2014
291480,Crytek,2014
241240,Game Dev Castle,2014
293840,North of Earth,2014
304500,HandMade Game,2014
292180,Laminar Research,2014
293900,Fixpoint Productions Ltd.,2014
310070,Lucky Frame,2014
255420,Stainless Games,2014
302590,Subvert Games,2016
268850,EVGA,2014
304350,b-alive gmbh,2006
307990,b-alive gmbh,2013
313040,Lemondo Entertainment,2014
291370,JumpCore Productions,2014
248310,GalaxyTrail,2014
302270,Nom Nom Games,2014
307290,Tribe Studios,2014
297512,Relic Entertainment,2014
311480,Nerdook Productions,2014
314230,Elliptic Games,2014
251150,Nihon Falcom,2014
312990,Free Lives,2014
247950,Keen Games,2014
293740,Spry Fox LLC,2014
298520,Night Node,2014
298480,Evil Twin Artworks,2014
306620,88mm,2014
263960,A Jolly Corpse,2014
305920,ShaunJS,2014
314020,"Dan  Walters,Ceri Williams",2014
305980,Teyon,2014
300040,GamePrix,2014
319180,Idigicon,2007
307340,Idigicon,2004
257710,The Men Who Wear Many Hats,2014
299260,Colossal Games,2014
265770,Net Games Laboratory,2014
286690,4A Games,2014
287390,4A Games,2014
261760,Xaviant,2014
312010,Social Loner Studios,2011
250400,Eko Software,2013
262750,Nine Dots Studio,2014
214190,Desconocido,2014
321030,BS1 &amp; BSL Team,2014
288470,Lionhead Studios,2014
246940,Arkavi Studios,2014
316720,VisualArts/Key,2004
319550,Shortbreak Studios s.c.,2014
317410,REMIMORY,2014
319560,electrolyte,2014
272510,"CyberConnect2 Co., Ltd.",2014
321610,Brain Bombers,2011
290730,"Gravvit Ltd,Forbes  Consult Ltd",2014
289130,AMPLITUDE Studios,2014
215080,Ankama Studio,2014
297120,Terri Vellmann,2014
240760,inXile Entertainment,2014
319250,Tasty Stewdios LLC,2014
232890,FireFly Studios,2014
249190,CreativeForge Games,2014
221540,Hidden Path Entertainment,2014
241260,Frogwares,2014
271944,"FromSoftware, Inc",2014
318550,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",2014
241930,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014
253610,Final Boss Entertainment,2014
310700,Minor Key Games,2014
319400,Disney Interactive,2011
242640,Cyanide Studio,2014
273110,Nexon,2014
327740,"Monolith Productions, Inc.",2003
322980,Artefacts Studio,2013
268050,Tango Gameworks,2014
325090,Bossa Studios,2014
306660,Game-Labs,2014
226580,Codemasters,2014
327950,"MicroProse Software, Inc",1989
301970,Samurai Punk,2014
318220,Odin Game Studio,2014
326220,Damaged,2014
246090,Double Fine Productions,2014
329830,David Szymanski,2014
313160,Giants Software,2014
299740,Entrada Interactive LLC,2014
297110,Gl33k,2014
250900,"Nicalis, Inc.",2014
323240,Good Games,2014
327410,Freebird Games,2014
317620,Full Control Studios,2014
319450,Frima Studio,2014
259410,Naiad Entertainment LLC,2014
298110,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",2014
302010,Might and Delight,2014
295790,"Upper One Games,E-Line Media",2014
226560,Fatshark,2014
329110,Infinity Plus 2,2014
253510,WhiteMoon Dreams,2014
326150,Studio Whisky Tango Inc.,2014
331120,VIS - Visual Imagination Software,2014
332570,Fayju,2014
227160,Badland Studio,2014
248390,Dekovir Entertainment,2014
270942,Axis Game Factory,2014
326480,MoeNovel,2013
326160,Portalarium,2014
303800,"CD PROJEKT RED,Can Explode",2014
318530,Grynsoft,2014
294160,"Hassey Enterprises, Inc.",2014
270370,Vortal Storm,2014
317790,Benjamin Bryant,2014
292140,Square Enix,2014
331440,KintoGames,2014
335670,Dingaling,2014
334230,BlankMediaGames,2014
286040,"BadFly Interactive, a.s.",2014
339120,Dodge Roll,2014
311340,Kojima Productions,2014
207140,DoubleDutch Games,2016
324120,Duelboot,2014
302830,Shumkov Dmitriy,2014
339350,Choice of Games,2014
322170,RobTop Games,2014
336380,Colonthree Enterprises,2014
337070,Dimmdrive Inc.,2015
339290,Snails Animation,2015
340300,Forever Entertainment S. A.,2015
299680,Nyamyam,2015
339800,HuniePot,2015
343780,Cat5Games,2015
266590,Axis Game Factory LLC,2013
304240,"CAPCOM Co., Ltd.",2015
344140,"Lion Game Lion,OVERKILL - a Starbreeze Studio.",2015
295690,Andy Wallace,2015
341720,Eat Create Sleep,2015
313120,Beam Team Games,2015
290790,Petroglyph,2015
345650,InvertMouse,2015
313371,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",2015
208750,Alientrap,2015
313372,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",2015
342980,MovingBlocks,2015
307030,Endgame Studios,2015
304650,Failbetter Games,2015
344860,Emmanuel Salva Cruz,2015
345580,3000AD,2015
342740,Geek Sloth Games,2015
336670,Shifty Chair Games,2015
266510,Defiant Development,2015
346170,Spasman Games,2015
346120,Spasman Games,2014
346560,Lonely Troops,2015
315840,FourbitFriday,2015
348960,Rainbow Games,2015
287290,"CAPCOM Co., Ltd.",2015
342560,David Stark,2015
273500,Loren Lemcke,2015
314660,"Just Add Water (Developments), Ltd.",2015
244160,"Gearbox Software,Aspyr (Mac)",2015
338160,Paradox Development Studio,2015
351890,OVERKILL - a Starbreeze Studio.,2015
323470,DIMPS,2015
322520,"KOEI TECMO GAMES CO., LTD.",2015
318791,"Sledgehammer Games,Raven Software",2015
342570,GameUS Inc.,2015
279720,Primal,2004
348090,OVERKILL - a Starbreeze Studio.,2015
348040,11 bit studios,2015
275100,Might and Delight,2015
340540,JAVELIN OÜ,2012
293760,Camshaft Software,2015
349480,Ascension Entertainment LLC,2008
342580,"Jetdogs Studios,Zoom Out Games",2015
352111,Axis Game Factory LLC,2015
348290,CCCP,2014
245370,Tindalos Interactive,2015
327670,Dreadbit,2015
304030,XLGAMES,2015
358150,"Lion Game Lion,OVERKILL - a Starbreeze Studio.",2015
345370,STRIKEWORKS,2015
253530,"Fortress Forever Development Team,Trepid Studios",2007
357600,Kittehface Software,2015
290930,"Filip Victor,Valve",2015
344630,MOONSTONE,2015
311730,"Team NINJA,KOEI TECMO GAMES CO., LTD.",2015
346900,Hyper Hippo Games,2015
336420,"Toadman Interactive,Fatshark",2015
357900,Sometimes You,2015
331200,Daniel Davies,2015
335800,"TT Games Ltd,Feral Interactive (Mac)",2015
339610,Joycity,2015
335300,"FromSoftware, Inc",2015
361314,Digital Confectioners,2015
230190,Brightrock Games,2015
355840,Vostok Games,2015
305380,HE SAW,2015
359800,Reiza Studios,2014
332350,Bohemia Interactive,2015
362280,Desconocido,2013
300080,Creative Assembly,2016
339190,Fictiorama Studios,2015
340340,Sean Davy,2014
277520,Z4G0 and Ivan Venturi Productions,2015
324570,"343 Industries,Vanguard Games",2014
275200,Ostrich Banditos,2015
318230,Convoy Games,2015
340810,Bytebin,2015
247080,Brace Yourself Games,2015
365670,Blender Foundation,2015
362870,KADOKAWA,2015
360870,Tigerish Games,2015
324300,"Cliffhanger Productions,Catalyst Games Lab",2015
323370,"Bluehole, Inc.",2015
359040,David Szymanski,2015
272890,Kinelco &amp; Lone Elk Creative,2014
285820,RageSquid,2015
326410,Tasharen Entertainment Inc.,2015
278910,Team Jolly Roger,2015
363970,Playsaurus,2015
226860,Stardock Entertainment,2015
315660,N3V Games,2015
263060,GhostShark,2015
339280,S2 Games,2015
368360,Robot Gentleman,2015
371420,Forever Entertainment S. A.,2015
333980,ACQUIRE Corp.,2015
278440,Alan Zucconi,2015
373180,Hello There AB,2015
284160,BeamNG,2015
364323,Lionheart Creations,2015
246110,Double Fine Productions,2015
341940,Destructive Creations,2015
368720,Digital Dawn Studios,2015
260430,Digital Leisure Inc.,2015
278970,DiggerWorld Ltd.,2015
356510,Stamina-Games,2015
253250,Radiant Entertainment,2015
372210,Russpuppy,2015
290890,EightyEightGames,2015
312530,Landon Podbielski,2015
313080,Shark Punch,2015
373460,Spectral Games,2015
358090,Access Games,2015
376920,Anarchy Enterprises,2015
367780,"Soloweb Studios,Ravens Eye Studio",2015
338163,Paradox Development Studio,2015
376660,"Elias Viglione,Jussi Kukkonen",2015
